DETLOC,Facility Name,City,State,AOR,Distance to Field Office (mi),Last Inspection Type,Last Inspection Rating - Final,Last Inspection Rating - Recommended,Last Inspection Date,Second to Last Inspection Type,Second to Last Inspection Rating,Second to Last Inspection Date
CLICONY,CLINTON COUNTY JAIL,PLATTSBURGH,NY,BUF,379.69,Regular,Pending,Deficient,6/8/17,ORSA,Acceptable,7/22/16
CLINTPA,CLINTON COUNTY CORRECTIONAL FACILITY,LOCK HAVEN,PA,PHI,194.62,Regular,Acceptable,Acceptable,9/21/17,Regular,Acceptable,10/1/15
COBBJGA,COBB COUNTY JAIL,MARIETTA,GA,ATL,20.25,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
COCONAZ,COCONINO COUNTY DETENTION FACILITY,FLAGSTAFF,AZ,PHO,145.37,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,8/31/15
COLLIFL,COLLIER COUNTY NAPLES JAIL CENTER,NAPLES,FL,MIA,115.97,ORSA,Acceptable,,10/11/17,ORSA,Acceptable,7/22/16
CONWECA,CONTRA COSTA COUNTY JAIL WEST,RICHMOND,CA,SFR,21.85,Regular,Pending,Acceptable,10/26/17,Regular,Acceptable,10/20/16
CSCNWWA,NORTHWEST DETENTION CENTER,TACOMA,WA,SEA,24.97,Regular,Meets Standard,Meets Standard,4/20/17,Regular,Meets Standard,4/14/16
CUMBEME,CUMBERLAND COUNTY JAIL,PORTLAND,ME,BOS,108.84,ORSA,Acceptable,,8/22/17,ORSA,Acceptable,8/31/16
DAKOTNE,DAKOTA COUNTY JAIL,DAKOTA CITY,NE,SPM,354.72,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,8/11/16
DALCOTX,DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,DALLAS,TX,DAL,,ORSA,Acceptable,,10/20/17,N/A,,
DAVIDTN,DAVIDSON COUNTY SHERIFF,NASHVILLE,TN,NOL,533.52,ORSA,Acceptable,,8/29/17,ORSA,Acceptable,8/31/16
DEAPDMI,DEARBORN POLICE DEPARTMENT,DEARBORN,MI,DET,12.19,ORSA,Acceptable,,7/18/17,ORSA,Acceptable,8/4/16
DEKALAL,DEKALB COUNTY DETENTION CENTER,FORT PAYNE,AL,NOL,439.27,Regular,Acceptable,Acceptable,1/6/17,Regular,Acceptable,1/15/15
DELAWPA,DELAWARE CO JAIL (GEORGE W. HILL),THORNTON,PA,PHI,19.05,ORSA,Acceptable,,8/17/17,Regular,Special Review - Pre-Occupancy,6/30/16
DENICDF,DENVER CONTRACT DETENTION FACILITY,AURORA,CO,DEN,17.81,Regular,Meets Standard,Meets Standard,9/28/17,Regular,Meets Standard,9/29/16
DOCORNE,DOUGLAS COUNTY DEPARTMENT OF CORRECTIONS,OMAHA,NE,SPM,442.79,Regular,Pending,Meets Standard,10/26/17,Regular,Meets Standard,11/3/16
DODGEWI,DODGE COUNTY JAIL,JUNEAU,WI,CHI,154.46,Regular,Acceptable,Acceptable,3/30/17,Regular,Acceptable,3/24/16
EAZ,ELOY FEDERAL CONTRACT FACILITY,ELOY,AZ,PHO,65.00,Regular,Meets Standard,Meets Standard,2/2/17,Regular,Meets Standard,2/4/16
EHDLGTX,EAST HIDALGO DETENTION CENTER,LA VILLA,TX,SNA,269.36,Regular,Acceptable,Acceptable,8/24/17,Regular,Acceptable,8/27/15
ELGPDIL,ELGIN POLICE DEPARTMENT,ELGIN,IL,CHI,41.01,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,7/8/16
ELMORID,ELMORE COUNTY JAIL,MOUNTAIN HOME,ID,SLC,416.05,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,7/29/16
ELPASCO,EL PASO COUNTY CRIMINAL JUSTICE CENTER,COLORADO SPRINGS,CO,DEN,65.32,ORSA,Acceptable,,9/8/17,Regular,Acceptable,5/14/15
ELZICDF,ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH,NJ,NEW,3.44,Regular,Pending,Meets Standard,10/19/17,Regular,Meets Standard,10/14/16
EPC,EL PASO SERVICE PROCESSING CENTER,EL PASO,TX,ELP,0.34,Regular,Meets Standard,Meets Standard,12/15/16,Regular,Meets Standard,12/17/15
ERICOPA,ERIE COUNTY JAIL,ERIE,PA,PHI,403.76,ORSA,Acceptable,,8/14/17,ORSA,Acceptable,7/15/16
ESSEXNJ,ESSEX COUNTY CORRECTIONAL FACILITY,NEWARK,NJ,NEW,5.98,Regular,Meets Standard,Meets Standard,9/21/17,Regular,Meets Standard,9/15/16
ETOWAAL,ETOWAH COUNTY JAIL (ALABAMA),GADSDEN,AL,NOL,408.56,Regular,Acceptable,Acceptable,7/27/17,Regular,Acceptable,7/21/16
EULESTX,EULESS CITY JAIL,EULESS,TX,DAL,14.99,ORSA,Acceptable,,10/11/17,ORSA,Acceptable,8/31/16
FAICOVA,FAIRFAX COUNTY JAIL,FAIRFAX,VA,WAS,4.91,ORSA,Acceptable,,9/22/16,Regular,Acceptable,9/14/11
FAYETKY,FAYETTE COUNTY DETENTION CENTER,LEXINGTON,KY,CHI,311.60,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,7/8/16
FLO,FLORENCE SERVICE PROCESSING CENTER,FLORENCE,AZ,PHO,64.25,Regular,Meets Standard,Meets Standard,4/6/17,Regular,Meets Standard,3/31/16
FORSYNC,FORSYTH COUNTY JAIL,WINSTON-SALEM,NC,ATL,321.29,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
FREDEMD,FREDERICK COUNTY DETENTION CENTER,FREDERICK,MD,BAL,52.03,Regular,Acceptable,Acceptable,7/13/17,Regular,Acceptable,7/16/15
FREEBMN,FREEBORN COUNTY ADULT DETENTION CENTER,ALBERT LEA,MN,SPM,227.49,Regular,Acceptable,Acceptable,3/30/17,Regular,Acceptable,3/24/15
FRMVLVA,IMMIGRATION CENTERS OF AMERICA FARMVILLE,FARMVILLE,VA,WAS,172.21,Regular,Meets Standard,Meets Standard,3/16/17,Regular,Meets Standard,3/10/16
FXADCVA,FAIRFAX COUNTY ADULT DETENTION CENTER,FAIRFAX,VA,WAS,0.20,ORSA,Acceptable,,9/27/17,N/A,,
GARVIOK,GARVIN COUNTY DETENTION CENTER,PAULS VALLEY,OK,DAL,146.45,ORSA,Acceptable,,10/11/17,ORSA,Acceptable,7/15/16
GASTNNC,GASTON COUNTY JAIL,GASTONIA,NC,ATL,225.28,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
GEAUGOH,GEAUGA COUNTY JAIL,CHARDON,OH,DET,209.06,Regular,Acceptable,Acceptable,12/3/15,Regular,Acceptable,12/5/13
GFCORND,GRAND FORKS COUNTY CORRECTIONAL FACILITY,GRAND FORKS,ND,SPM,223.65,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,9/23/16
GLADEFL,GLADES COUNTY DETENTION CENTER,MOORE HAVEN,FL,MIA,96.15,Regular,Acceptable,Acceptable,5/18/17,Regular,Acceptable,5/12/16
GLEPDCA,GLENDALE POLICE DEPARTMENT,GLENDALE,CA,LOS,10.31,ORSA,Acceptable,,9/1/17,ORSA,Acceptable,9/23/16
GRAYSKY,GRAYSON COUNTY JAIL,LEITCHFIELD,KY,CHI,371.69,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,6/21/16
GREENMA,FRANKLIN COUNTY HOUSE OF CORRECTION,GREENFIELD,MA,BOS,87.30,Regular,Acceptable,Acceptable,4/27/17,Regular,Acceptable,4/12/16
HAILEID,DALE G. HAILE DETENTION CENTER,CALDWELL,ID,SLC,369.66,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,8/4/16
HALLJGA,HALL COUNTY JAIL,GAINESVILLE,GA,ATL,55.79,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
HARDJIA,HARDIN COUNTY JAIL,ELDORA,IA,SPM,342.88,Regular,Acceptable,Acceptable,9/28/17,Regular,Acceptable,10/22/15
HASHENE,HALL COUNTY DEPARTMENT OF CORRECTIONS,GRAND ISLAND,NE,SPM,530.35,Regular,Acceptable,Acceptable,7/20/17,Regular,Acceptable,7/16/15
HENDENV,HENDERSON DETENTION CENTER,HENDERSON,NV,SLC,353.52,Regular,Acceptable,Acceptable,7/20/17,Regular,Acceptable,7/14/16
HOUICDF,HOUSTON CONTRACT DETENTION FACILITY,HOUSTON,TX,HOU,6.86,Regular,Meets Standard,Meets Standard,1/12/17,Regular,Meets Standard,1/14/16
HOWARMD,HOWARD COUNTY DETENTION CENTER,JESSUP,MD,BAL,14.07,Regular,Meets Standard,Meets Standard,12/15/16,Regular,Meets Standard,6/23/16
HUDSONJ,HUDSON COUNTY CORRECTIONAL CENTER,KEARNY,NJ,NYC,7.63,Regular,Meets Standard,Meets Standard,1/12/17,Regular,Meets Standard,1/14/16
IRADFCA,IMPERIAL REGIONAL DETENTION FACILITY,CALEXICO,CA,SND,120.50,Regular,Meets Standard,Meets Standard,1/26/17,Regular,Meets Standard,1/28/16
IRWINGA,IRWIN COUNTY DETENTION CENTER,OCILLA,GA,ATL,192.01,Regular,Meets Standard,Meets Standard,6/22/17,Regular,Meets Standard,6/16/16
JAMESGA,FOLKSTON ICE PROCESSING CENTER (D. RAY JAMES),FOLKSTON,GA,ATL,244.58,Regular,Meets Standard,Meets Standard,3/23/17,Regular,Special Review - Pre-Occupancy,11/17/16
JEFFEID,JEFFERSON COUNTY JAIL,RIGBY,ID,SLC,349.80,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,7/29/16
JENADLA,JENA/LASALLE DETENTION FACILITY,JENA,LA,NOL,224.29,Regular,Meets Standard,Meets Standard,9/14/17,Regular,Meets Standard,9/15/16
JHRWLTX,JACK HARWELL DETENTION CENTER,WACO,TX,SNA,175.46,ORSA,Acceptable,,9/13/17,ORSA,Acceptable,8/10/16
JOHNSTX,JOHNSON COUNTY CORRECTIONS CENTER,CLEBURNE,TX,DAL,56.62,Regular,Meets Standard,Meets Standard,8/17/17,Regular,Acceptable,8/18/16
